id,name,month,day,sede_id,active,description,created_at,created_by
2,Capodanno,1,1,,t,Primo giorno dell'anno,2025-08-07 13:11:46.683403,1
3,Epifania,1,6,,t,Festa dell'Epifania,2025-08-07 13:11:46.745789,1
4,Festa della Liberazione,4,25,,t,Liberazione d'Italia,2025-08-07 13:11:46.788174,1
5,Festa del Lavoro,5,1,,t,Festa dei Lavoratori,2025-08-07 13:11:46.82987,1
6,Festa della Repubblica,6,2,,t,Festa della Repubblica Italiana,2025-08-07 13:11:46.872332,1
7,Ferragosto,8,15,,t,Assunzione di Maria,2025-08-07 13:11:46.914386,1
8,Ognissanti,11,1,,t,Festa di Tutti i Santi,2025-08-07 13:11:46.956087,1
9,Immacolata Concezione,12,8,,t,Immacolata Concezione di Maria,2025-08-07 13:11:46.997496,1
10,Natale,12,25,,t,Nascita di Gesù Cristo,2025-08-07 13:11:47.039281,1
11,Santo Stefano,12,26,,t,Festa di Santo Stefano,2025-08-07 13:11:47.081541,1
