table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
neondb,public,user_role,BASE TABLE,,,,,,YES,NO,
neondb,public,sede,BASE TABLE,,,,,,YES,NO,
neondb,public,work_schedule,BASE TABLE,,,,,,YES,NO,
neondb,public,user,BASE TABLE,,,,,,YES,NO,
neondb,public,aci_table,BASE TABLE,,,,,,YES,NO,
neondb,public,user_sede_association,BASE TABLE,,,,,,YES,NO,
neondb,public,attendance_event,BASE TABLE,,,,,,YES,NO,
neondb,public,leave_request,BASE TABLE,,,,,,YES,NO,
neondb,public,leave_type,BASE TABLE,,,,,,YES,NO,
neondb,public,shift,BASE TABLE,,,,,,YES,NO,
neondb,public,shift_template,BASE TABLE,,,,,,YES,NO,
neondb,public,presidio_coverage_template,BASE TABLE,,,,,,YES,NO,
neondb,public,reperibilita_coverage,BASE TABLE,,,,,,YES,NO,
neondb,public,reperibilita_shift,BASE TABLE,,,,,,YES,NO,
neondb,public,intervention,BASE TABLE,,,,,,YES,NO,
neondb,public,reperibilita_template,BASE TABLE,,,,,,YES,NO,
neondb,public,holiday,BASE TABLE,,,,,,YES,NO,
neondb,public,password_reset_token,BASE TABLE,,,,,,YES,NO,
neondb,public,expense_category,BASE TABLE,,,,,,YES,NO,
neondb,public,overtime_request,BASE TABLE,,,,,,YES,NO,
neondb,public,overtime_type,BASE TABLE,,,,,,YES,NO,
neondb,public,mileage_request,BASE TABLE,,,,,,YES,NO,
neondb,public,presidio_coverage,BASE TABLE,,,,,,YES,NO,
neondb,public,reperibilita_intervention,BASE TABLE,,,,,,YES,NO,
neondb,public,internal_message,BASE TABLE,,,,,,YES,NO,
neondb,public,expense_report,BASE TABLE,,,,,,YES,NO,
